WardName,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11
Ebbo,0.3270411567802191,0.38622677809108164,0.4587361110895485,0.5618210554373928,0.6343303884358598,0.6935160097467222,0.42502966343623116,0.4733692187685425,0.5128262996424507,0.6298891512066582,0.5102785832634706
Edo Kota,0.40974573796504044,0.39076481297835197,0.47334094837431295,0.47981005161278834,0.5623861870087493,0.5434052620220609,0.42677353418539354,0.48182429111603425,0.4691703411249086,0.5285338335478662,0.47657549999355064
Edotsu,0.45097906263030463,0.6558980867264745,0.6672160978401014,0.4579109960608819,0.46922900717450877,0.6741480312706787,0.5215960484725537,0.5291413892149716,0.6657540719457515,0.5337626781686898,0.5625635469504917
Edozigi,0.47160898370359167,0.3576539838325543,0.5176009520711837,0.4413010783029876,0.601248046541617,0.4872930466705797,0.4235213486130445,0.5301526607721309,0.4541826608581059,0.5099473905050614,0.47945101518708566
Egbako,0.3881251255905659,0.42387538254906987,0.4569091190088781,0.6613704955866905,0.6944042320464987,0.7301544890050027,0.4911236679087754,0.5131461588819809,0.5369796635209836,0.6953097388793973,0.5591398072977842
Egwa/Gwada,0.41225173662761266,0.2667448592500967,0.4299403328062081,0.455438892983459,0.6186343665395704,0.47312748916205444,0.37814516295372275,0.4869421453244637,0.38993756040611977,0.5157335828950279,0.44268961289483355
Ekobadeggi,0.33545292578460784,0.40459033099469177,0.4730845084811139,0.45827515423101883,0.526769331717441,0.5959067369275248,0.3994394703367728,0.4451022553277209,0.4911938588011102,0.5269837409586615,0.4656798313560664
Ekossa,0.37292706971104334,0.2804311630551841,0.5076931002474854,0.21222270373004157,0.43948464092234285,0.34698873426648363,0.28852697883208966,0.4400349369602905,0.3783709991897177,0.33289869297295605,0.3599579019887635
Ekowugi,0.20359547181464,0.0646174082256249,0.3238093269176216,0.21414820724361827,0.473340125935615,0.3343620623465999,0.16078702909462772,0.3335816415559589,0.24092959916328213,0.34061679850861104,0.26897876708061996
Ekowuna,0.24616856804216156,0.1269947722048682,0.38073854622457814,0.23395247499534005,0.48769624901504993,0.3685224531777566,0.20237193841412326,0.3715344544272632,0.29208525720240097,0.36339039239604887,0.30734551060995907
