WardName,normalization_x.1,normalization_x,normalization_lga_code,normalization_population,normalization_mean_evi,normalization_mean_ndvi,normalization_mean_rainfall,normalization_distance_to_water,normalization_rh_mean,normalization_temp_mean,normalization_housing_quality,normalization_pfpr,normalization_avgrad,normalization_flood,normalization_ndwi,normalization_ndmi,normalization_elevation,normalization_mean_soil_wetness,normalization_settlement_type,normalization_u5_tpr_rdt,normalization_totalarea,normalization_urbanarea,normalization_urbanpercentage,normalization_building_height
Adahe,0.0,0.0,0.041666666666666664,0.06433963188981202,0.5952900602590535,0.6092784426529905,0.05003731143283588,3.6467999453656036e-14,0.4298367944925479,0.7118007020147777,0.8452466671479245,0.4788812998028765,0.0037700962515616163,0.7620620732764344,0.11857900875761522,0.03893126597607537,0.19485765712049793,0.8664092867720573,1.0,0.5735686726281498,0.042897918804654156,1.0,1.0,0.004734113158381762
Adono,0.0036496350364963502,0.003472222222222222,0.75,0.09627968531725609,0.7037334920721454,0.6998165197128438,0.9383515289958547,1.2262969184424388e-14,0.6389028747447121,0.1947499925631611,0.3445594372468151,0.8894084098212653,0.004412971158023729,0.10007647679681313,0.0951634721123759,0.41594281991654086,0.0045070145473895245,0.8690172097893636,1.0,0.5878486193149443,0.032555014214867464,1.0,1.0,0.011624999644986828
Agwata,0.0072992700729927005,0.006944444444444444,0.041666666666666664,0.08846163272308409,0.5273455595762805,0.5108358088257475,0.08910300435066283,5.145149039789716e-14,0.32736888566790534,0.7223282666977744,0.43451229518317985,0.36797291378343827,0.006801978180986548,0.6162425709518861,0.13700371830990482,0.08955550164165688,0.26124294207151183,0.8982188191866823,1.0,0.5906142220450666,0.026510244946148672,1.0,1.0,0.015415877268027147
Akari,0.010948905109489052,0.010416666666666666,1.0,0.1288263117907997,0.745004454055991,0.7114632020415425,0.39442803558483575,2.993599276040371e-14,0.4487370848897655,0.33975481511976136,0.5740751147516999,0.8445448971469716,0.0015977058726429573,0.12098187911838736,0.1007321229999203,0.39842952769526824,0.3838775945666474,0.6358286153110255,1.0,0.42927457514403783,0.07646155026469736,1.0,1.0,0.012301575586880848
Allawa,0.014598540145985401,0.013888888888888888,0.875,0.17596745337352646,0.8362550966478639,0.868576973139521,0.5651439282666955,2.5580141150233577e-14,0.2323895813107879,0.29663117822946505,0.8018130997524863,0.7397541063272071,0.02562952743826698,0.0619902390694878,0.030294577731625465,0.7158079572233746,0.03537642859836247,0.870330470174193,1.0,0.7311620328530472,0.15297372686612604,1.0,1.0,0.00729781758828632
Anaba/Ibelu West,0.01824817518248175,0.017361111111111112,0.5416666666666666,0.24335220449476755,0.6128186282222251,0.6381189124503654,0.2503559669364258,2.912239408521147e-14,0.28138129847042953,0.6625474699179317,0.420863205730688,0.6525179129706056,0.0071398076640451814,0.612733727553978,0.10454939067223047,0.1192413653362793,0.15492724748917444,0.9805296890036042,1.0,0.5002532853092173,0.0664126516027936,1.0,1.0,0.05090456653049129
Arewa,0.021897810218978103,0.020833333333333332,0.4166666666666667,0.11526113275984609,0.44593285182206427,0.47977764146926494,0.4797328934182287,4.754686500903979e-14,0.1950401221991371,0.628406701801223,0.08057928763508475,0.856949151657658,0.1275781095650949,0.6492132225482375,0.15903082453018275,0.14681233512871977,0.07216502515952455,0.8603596711826574,1.0,0.2613765950167257,0.002388747045908983,7.984812192985222e-17,7.552165761722342e-12,0.004852178192784743
Arewa/Yamma,0.025547445255474453,0.024305555555555556,0.4583333333333333,0.19241844962380217,0.6795721447623488,0.6694486108310097,0.5053695564704042,2.4863466911341433e-14,0.5636225115269239,0.2561837089891762,0.045109025575306494,0.6060724555531801,0.009616960543443423,0.2757690352955596,0.1081014337132028,0.3622227658507168,0.17994235934187958,0.6250264148844372,1.0,0.33126600262074124,0.01587835428828825,6.35380319364286e-17,4.348847638154291e-11,0.2640396192691891
Auna,0.029197080291970802,0.027777777777777776,0.5416666666666666,0.19381540572997083,0.530785930076747,0.5722489181193009,0.31730643506776823,1.6494278193699126e-14,0.40808943155494554,0.5540053942649165,0.4517977212677721,0.4915461011759715,0.009939734990414196,0.8141278515466532,0.12185648533539382,0.05879403051278895,0.20765692556023607,0.5887721621008404,1.0,0.461017894350183,0.041937931596099765,1.0,1.0,0.04485360580604861
Babana,0.032846715328467155,0.03125,0.125,0.47207925887802366,0.8035483446319924,0.8815228493944405,0.3995707099334723,1.9317060234069135e-14,0.14854906198556148,0.751149502011163,0.7589656304136402,0.46761344434315855,0.006017541692006812,0.19161916046054764,0.05053066227063665,0.21693582394755156,0.108482568199614,0.6562987446788695,1.0,0.5206294837391277,1.0,1.2594927664425664e-16,5.154086162266286e-09,0.008547231637082701
Babanrami,0.0364963503649635,0.034722222222222224,0.625,0.587389407641595,0.5649211305375679,0.5999782981103062,0.49869974632030856,2.138899745360056e-14,0.2942866946296214,0.5647494064214426,0.4943697077930511,0.8259644966634895,0.0036703121411425263,0.6062558131045515,0.09139992219114622,0.18026641465493348,0.09923188382993722,0.7356587280927727,1.0,0.4479596719885835,0.11760738155700644,1.0,1.0,0.052781162554181346
Badegi,0.040145985401459854,0.03819444444444445,0.375,0.15473739676004217,0.6501246869564649,0.6415835288002592,0.3616258197086669,1.9696690720692762e-14,0.5261895110587427,0.12479584293438807,0.200436675660077,0.567100355019228,0.015989611845833557,0.3328818798033719,0.0720438080494046,0.3700671490361537,0.4847664578189245,0.22388828051507131,1.0,0.327203306024681,0.03058888050234461,1.0,1.0,0.0120936499947833
Bagama A,0.043795620437956206,0.041666666666666664,0.9166666666666666,0.13190819302502266,0.4653036716165993,0.5551091061645892,0.8264224383553719,2.8801661285360394e-13,0.7930324673181405,0.17625297554977476,0.0080920748585685,0.33970491588430635,0.34617265423381305,0.031285242280860756,0.22541455594274745,0.31982627589903445,0.029307436493095505,0.8690172097893636,0.8703703709176953,0.30450643644878994,0.004869250905797538,3.120717397428088e-17,6.740291198492545e-12,0.04401771319228513
Bagama b,0.04744525547445255,0.04513888888888889,0.9166666666666666,0.14302257186971545,0.4979558624376377,0.5620833024401386,0.8465967419683705,3.801661282368843e-14,0.7930324673181405,0.17625297554977476,0.0080920748585685,0.33970491588430635,0.5426003315937155,0.0193633199458952,0.27098388398446266,0.2928523453878585,0.029307436493095505,0.8690172097893636,0.5757575754276094,0.30415157888983646,0.002006919306600844,5.522504028330898e-17,4.254824208206415e-12,0.023778331046418685
Bakeko,0.051094890510948905,0.04861111111111111,0.375,0.18748008724848664,0.5667419827921998,0.5752442352087328,0.24598425964051823,2.668621567123779e-14,0.5417949483121843,0.06464117885618684,0.4073687270832997,0.38682802532347677,0.006562692825463301,0.609834507565988,0.11008367461937257,0.23266351224648635,0.4578019811299827,0.0,1.0,0.28525356675704927,0.024931783563720326,1.0,1.0,0.03375797250235838
Bangajiya,0.05474452554744526,0.052083333333333336,0.875,0.5143371810896258,0.5451334999542622,0.5526087184646832,0.44537929531220555,2.587713563898256e-14,0.5125255639538245,0.15427300567003116,0.47425026266346654,0.8126436248606927,0.010010288284813299,0.3837045905963112,0.13673999830789532,0.3242266627154169,0.11115644396964927,0.9337751399001232,1.0,0.42343239124751075,0.030943238515861126,6.346187622548294e-16,7.604926710723776e-10,0.028366006614777013
Bangi,0.058394160583941604,0.05555555555555555,0.5833333333333334,0.47316986496090974,0.5298162278455706,0.6142257015798357,0.41120907513490873,4.5338776741543493e-14,0.13665840953546465,0.6334933782256895,0.6227062016302178,0.8743879253425715,0.00866655451618223,0.620120745471017,0.1212005113064032,0.2850719034297948,0.03741927829064032,0.8106736480260878,1.0,0.6416374796637339,0.23759702742664593,9.088511699051984e-17,9.071663655778507e-10,0.02132609392297052
Bariki,0.06204379562043796,0.059027777777777776,0.08333333333333333,0.18189838982427764,0.680652891257252,0.747713879535277,0.5201275175956112,6.537313917658904e-15,0.5874951547761768,0.032684625165817556,0.003477156776342953,0.40002143750331165,0.2992284346748145,0.19302796076487672,0.12537868419558418,0.29522959065983195,0.2487343624982498,0.0,1.0,0.2244179939635554,0.07743869785380957,7.081553566785948e-17,2.360874959235652e-10,0.02235696403433777
Baro,0.06569343065693431,0.0625,0.0,0.11960517608999338,0.7037975382416061,0.7241387784089216,0.42794462260105853,3.6882824502205493e-14,0.6517314130748936,0.07082980936841336,0.73165811338486,0.3291594467866314,0.005184528068691209,0.37371781345665567,0.09507330790960451,0.4207428049007034,0.5048045150888639,0.4600628469598658,1.0,0.28415053373648996,0.08729763780317715,1.0,1.0,0.01614321722157505
Barwa,0.06934306569343066,0.06597222222222222,1.0,0.04527240644070289,0.5390607425040176,0.7105816102919758,0.36672884565081626,3.880166128235351e-13,0.4237149187065801,0.31002184038316016,0.06834026144559607,0.5449602832099356,0.013440965685011477,0.5098393500457359,0.3647510920180037,0.31957966390828857,0.4973366955583731,0.823880669591909,1.0,0.0,0.0011730359641287163,3.9370599895620323e-16,1.8940379118473196e-11,0.02205883970367084
Bassa/Kukoki,0.072992700729927,0.06944444444444445,0.875,0.16038036418890766,0.7322960901913759,0.7470369237287089,0.5457976145521101,2.6150548946760847e-14,0.249335014504442,0.32635431374845525,0.7770315654589051,0.7761770823683052,0.0118073754296555,0.1383171077536287,0.07926868854178049,0.6149752756525398,0.08408683777302538,0.9020528050371578,1.0,0.6173920544805032,0.12223609340607493,1.0,1.0,0.029329804842556616
Batagi,0.07664233576642336,0.07291666666666667,0.2916666666666667,0.10041541063157121,0.6380051015129474,0.6470082354753196,0.41660186795713655,2.3120259360758995e-14,0.5555558031443059,0.11301875121339253,0.3034525507956138,0.549129214252159,0.01325412472751489,0.4751269148283717,0.08627043676314497,0.38603064979201246,0.621319257107244,0.44777656103014263,1.0,0.3616583991959226,0.01202257630644361,1.0,1.0,0.7381535939012424
Batako,0.08029197080291971,0.0763888888888889,0.2916666666666667,0.16148322427272505,0.6439052873468326,0.6429378570639406,0.39397373015142945,1.2206862538597659e-14,0.5422260194124089,0.22625395755729102,0.5832057101398939,0.6400771831678878,0.0043807303835521815,0.3967230316511394,0.10050128660090911,0.2798191440809979,0.4663131642603,0.44777656103014263,1.0,0.43976577377960235,0.050020960912404586,1.0,1.0,0.884716900738168
Batati,0.08394160583941605,0.0798611111111111,0.5,0.0830943803151729,0.8690194712439535,0.8677441045681584,0.6835456421155531,3.3678964485795103e-14,0.5610695018788084,0.29034416319808887,0.3717408710047355,0.7248456984135314,0.008380024812803834,0.0487274972103813,0.005188980387917905,0.4293533375986071,0.31393278551594894,0.5280582460237188,1.0,0.44916815804288635,0.03755075652789522,5.742535098094871e-17,9.496861051653566e-11,0.887314555317362
Beji,0.08759124087591241,0.08333333333333333,0.16666666666666666,0.23544224689361076,0.5919027249549038,0.5570462494269872,0.3359175920746739,1.5645295744874715e-14,0.438391381221842,0.2458070174142281,0.3779073284725767,0.8818284000901107,0.0045586548787627116,0.4592130693779269,0.12530043637320112,0.243242565557898,0.15386358594332178,0.687215740777922,1.0,0.2542570744348327,0.04121446910373182,1.0,1.0,0.11202848350749976
Beni,0.09124087591240876,0.08680555555555555,0.7083333333333334,0.06194397470774208,0.7393655198722072,0.7325323095006482,0.9339317853605319,3.107216838223452e-14,0.5945259560864989,0.16558767713415296,0.4811267745404551,0.9043442263115247,0.002712077563407386,0.09161921844469015,0.07887982347944224,0.43385306456295925,0.015758142797903402,0.9345086071203584,1.0,0.6774045869295542,0.03382355362945812,1.0,1.0,0.8077381756774871
Beri,0.0948905109489051,0.09027777777777778,0.5833333333333334,0.308617013454893,0.6139516439803266,0.6664399223873629,0.5816282452951458,1.4024190444040736e-14,0.289093792897467,0.5078809108573407,0.5335256431096803,0.9776164952634545,0.015439707119457458,0.5319644386233463,0.12644141205211185,0.35685628948831444,0.08439915310450558,0.8593710524150675,1.0,0.6934377601192272,0.14014083482060738,1.2435714540955628e-16,7.135013499066703e-10,0.7338880229150024
Birnin Maza,0.09854014598540146,0.09375,0.4583333333333333,0.46782712055486114,0.6449088643197444,0.651981739306135,0.6484146204239168,2.328407526869392e-14,0.6426722391801237,0.23316082798432874,0.3692301784773528,0.6816385128915599,0.00922453681398512,0.23161504107842637,0.1388322528134125,0.3272656402275647,0.1971232675178654,0.6250264148844372,1.0,0.37397538425985666,0.10002312702101405,1.0,1.0,0.03394437628500089
Bisanti,0.10218978102189781,0.09722222222222222,0.375,0.21803543857069332,0.651534438887935,0.6433518093546179,0.3255012580860115,2.331512751951589e-14,0.48969216885626077,0.21141699167031852,0.5814065124709372,0.7845956703909919,0.0052658760921323305,0.4045261270549539,0.10330860022578778,0.33529868747350716,0.5059249354671956,0.44777656103014263,1.0,0.4125626196604801,0.07641765631444743,1.0,1.0,0.43720790548336036
Bobi,0.10583941605839416,0.10069444444444445,0.5833333333333334,0.5814952331936377,0.5387906384195604,0.5897221550126759,0.4993411111507682,2.5316525429360046e-14,0.2949193774924141,0.43485704018799765,0.6286122503018655,0.9763157954117998,0.0024465783014392746,0.5325796310832565,0.13857763510910884,0.2065519264563889,0.13389946025047958,0.90964009151572,1.0,0.8744977934431585,0.1408563596034422,1.2435767469785196e-16,7.171489676229789e-10,0.14214145122119784
Bokani,0.10948905109489052,0.10416666666666667,0.6666666666666666,0.2857020317133544,0.6710713296468578,0.6841614299608177,0.5775715528405224,2.1157380577111756e-14,0.661265098945666,0.36197091856523833,0.7487063099767979,0.7624961427945064,0.0,0.14102078720684524,0.08548015150034642,0.23077376781239256,0.24029328693534044,0.6083399265659425,1.0,0.6273494986819105,0.07111331080901971,9.089522235459689e-17,2.711819411697531e-10,0.03325053325821402
